CRS_ID,DEP_ID,CRS_NUM,CRS_CODE,CRS_NAME,CRS_DESC,CRS_GEAF,CRS_GEGH,CRS_DCOREL,CRS_UNITSTR,CRS_UNITS,CRS_PREREQ,CRS_COREQ,CRS_CROSS,CRS_NOTE,CRS_STARTTERM,CRS_ENDTERM
PSYC-426,PSYC,426,PSYC 426,Motivated Behaviors and Addiction,"Social, environmental, and physiological influences on behaviors associated with aggression, eating, reproduction, and sleep. Will focus on behavioral disorders such as addiction.",,,False,,4,PSYC 314,,,{'prereq': ['Prerequisite:PSYC 314']},,
PSYC-427,PSYC,427,PSYC 427,Neuropsychopharmacology,"Pharmo-chemical nature of the brain; diseases of the brain and drug treatments. Recommended preparation: background in biological psychology, biology and/or neuroscience.",,,False,,4,PSYC 100,,,"{'prereq': ['Prerequisite:PSYC 100'], 'restriction': ['Restriction:Registration open to the following class level(s): Junior, Senior, Master Student, Doctoral Student'], 'alert': ['Note:Prior background in biological psychology, biology and/or neuroscience will be advantageous. It is also recommended that students be in Junior, Senior or higher class level standing.']}",,
PSYC-433,PSYC,433,PSYC 433,Children's Learning and Cognitive Development,"Principles of cognitive development, learning, and motivation applied to the development of literacy; includes tutoring a child 2 hours per week. Prerequisite: PSYC 336L.",,,False,,4,PSYC 336,,,"{'prereq': ['Prerequisite:PSYC 336'], 'alert': ['Note:Principles of cognitive development; examining how infants and children learn across different domains, including physical reasoning, language aquisition, concept learning, and social cognition.']}",,
PSYC-434,PSYC,434,PSYC 434,"Intelligence, Problem Solving and Creativity","Psychometric and experimental approaches to the study of intelligence, problem solving, reasoning and creativity, including analysis of mental test construction and validity.",,,False,,4,(PSYC 100 and PSYC 274),,,{'prereq': ['Prerequisite:(PSYC 100andPSYC 274)']},,
PSYC-436,PSYC,436,PSYC 436,Developmental Neuroscience of Human Behavior,"The biological underpinnings supporting social, emotional, and cognitive development from infancy through adolescence; Focus on neuroscience to understand typical and atypical development, including psychopathology.",,,False,,4,PSYC 100,,,{'prereq': ['Prerequisite:PSYC 100']},,
PSYC-437,PSYC,437,PSYC 437,Adolescent Development,"The adolescent years from both an applied and a research-oriented perspective. Topics include physical, cognitive, and moral development; socialization; and sexual and sex-role development.",,,False,,4,PSYC 100,,,{'prereq': ['Prerequisite:PSYC 100']},,
PSYC-440,PSYC,440,PSYC 440,Foundations of Cognitive Neuroscience,"Introduction to the major components of cognition (perception, memory, intelligence) in terms of the neural coding characteristic of the relevant brain areas.",,,False,,4,PSYC 100,,,{'prereq': ['Prerequisite:PSYC 100']},,
PSYC-450,PSYC,450,PSYC 450,Neural Network Models of Social and Cognitive Processes,"Introduction to using neural network or connectionist models to simulate cognitive, social, emotional and motivational processes; basic concepts and tools in computational neuroscience.",,,False,,4,PSYC 100,,,{'prereq': ['Prerequisite:PSYC 100']},,
PSYC-459,PSYC,459,PSYC 459,Industrial/Organizational Psychology,"I/O Psychologists develop and apply scientifically supported solutions to the workplace. ""Industrial"" deals with human resource functions, and ""Organizational"" with psychological aspects of the organization. Prerequisite: PSYC 100. Recommended preparation: PSYC 316.",,,False,,4,PSYC 100,,,{'prereq': ['Prerequisite:PSYC 100']},,
PSYC-464,PSYC,464,PSYC 464,Psychology of Marriage and the Family,"Theories and research on family relationships across the life span, including research methods, cultural and developmental perspectives, communication, conflict, attachment, individual psychopathology, and family violence.",,,False,,4,PSYC 100,,,{'prereq': ['Prerequisite:PSYC 100']},,
PSYC-467,PSYC,467,PSYC 467,Introduction to Autism Spectrum Disorder,"A comprehensive overview of the assessment, diagnosis and treatment of individuals diagnosed with autism spectrum disorder.",,,False,,4,,,,{},,
PSYC-468,PSYC,468,PSYC 468,Happiness,Neuroscientific and psychological perspectives that investigate the basis of happiness and well-being.,,,False,,4,PSYC 100,,,{'prereq': ['Prerequisite:PSYC 100']},,
PSYC-490,PSYC,490,PSYC 490x,Directed Research,Individual research and readings. Not available for graduate credit.,,,False,"1.0-8.0 units, max 12",,,,,"{'restriction': ['Restriction:Registration open to the following class level(s): Junior, Senior']}",,
PSYC-501,PSYC,501,PSYC 501L,Classic and Modern Statistical Methods I,An introduction to classic statistical techniques as well as modern robust methods for dealing violations of standard assumptions.,,,False,,4,,,,{},,
PSYC-505,PSYC,505,PSYC 505,Research Methods in Applied Social Psychology,"Various research techniques that are useful in a variety of different real world settings, such as business, governmental agencies and charities. Open only to M.S., Applied Psychology students.",,,False,,4,,,,"{'restriction': ['Restriction:Registration open to the following major(s): Applied Psychology', 'Restriction:Registration open to the following class level(s): Master Student']}",,
PSYC-509,PSYC,509,PSYC 509,Qualitative Research Methods in Applied Psychology,"Examines qualitative research in applied settings. Learn to design, execute and report qualitative research in response to stakeholder needs.",,,False,,2,,Corequisite: PSYC 505,,"{'coreq': ['Corequisite:PSYC 505'], 'restriction': ['Restriction:Registration open to the following major(s): Applied Psychology', 'Restriction:Registration open to the following class level(s): Master Student']}",,
PSYC-512,PSYC,512,PSYC 512,Seminar in Social Psychology,"Problems and theories of the person in the social context. Person perception, interpersonal relations, attitude dynamics, social systems.",,,False,,4,,,,{},,
PSYC-514,PSYC,514,PSYC 514,Psychopathology,"Study of psychopathology: in-depth survey of theory and research concerning psychological disorders; introduction to diagnosis. (One of 4 clinical psychology core courses: 514, 515, 619, 620.)",,,False,,4,,,,{},,
PSYC-515,PSYC,515,PSYC 515,Clinical Assessment,"Study of clinical assessment: test construction, measurement and predicition of behavior, major cognitive and personality assessment instruments. (One of 4 clinical psychology core courses: 514, 515, 619, 620.)",,,False,,4,,,,{},,
PSYC-517,PSYC,517,PSYC 517,Group Dynamics and Leadership,"Theory and research on effective teams and characteristics of strong leaders. Negotiation, morale-building, managing expectancies, utilization of cultural diversity as a strength. Open only to M.S., Applied Psychology students.",,,False,,4,,,,"{'restriction': ['Restriction:Registration open to the following major(s): Applied Psychology', 'Restriction:Registration open to the following class level(s): Master Student']}",,
PSYC-519,PSYC,519,PSYC 519,Professional Issues for Clinical Scientists,"Focus is on professionalism topics and skills central to developing as a clinical scientist, explored within a cultural context.",,,False,,2,,,,"{'restriction': ['Restriction:Registration open to the following class level(s): Doctoral Student', 'Restriction:Registration open to the following school(s): Dana and David Dornsife College of Letters, Arts and Sciences']}",,
PSYC-521,PSYC,521,PSYC 521,Cross Cultural Psychology in Applied Settings,Examination of major theoretical frameworks mapping worldwide cultures and values with a focus on applying thatknowledge in organizations. Open only to master students in Applied Psychology.,,,False,,4,,,,"{'restriction': ['Restriction:Registration open to the following major(s): Applied Psychology', 'Restriction:Registration open to the following class level(s): Master Student']}",,
PSYC-523,PSYC,523,PSYC 523,User Experience,"Provides a broad introduction to the social science methods UX researchers most commonly use, including qualitative approaches, and quantitative approaches.",,,False,,4,,,,{'restriction': ['Restriction:Registration open to the following class level(s): Master Student']},,
PSYC-530,PSYC,530,PSYC 530,Concepts and Principles of Behavior Analysis,"Provides intensive training in behavioral principles and laws of learning and motivation. Focuses on broad application of principles, from basic research with nonhumans, to application across human clinical populations.",,,False,,3,,,,{},,
PSYC-531,PSYC,531,PSYC 531,Behavioral Assessment,"Studies theory and application of behavioral methods for skill assessment, functional assessment of destructive behavior, and learner motivation. Discusses relative strengths and limitations of direct versus indirect methods.",,,False,,3,,,,{},,
PSYC-532,PSYC,532,PSYC 532,Ethics for Behavior Analysts,"Provides training in legal and ethical issues as they pertain to the professional practice of behavior analysis. Reviews the Guidelines for Responsible Conduct for Behavior Analysts, as well as the American Psychological Associations Ethical Principles of Psychologists and Code of Conduct.",,,False,,3,,,,{},,
PSYC-533,PSYC,533,PSYC 533,Applied Developmental Psychology,"Review of theories of cognitive development. Analysis of research on brain functioning, perception, memory, language, reasoning and academic skills from birth to adolescence.",,,False,,4,,,,{},,
PSYC-547,PSYC,547,PSYC 547,Functional Neuroanatomy,Regional organization and systems of the mammalian nervous system and their functions.,,,False,,4,,,,{},,
PSYC-550A,PSYC,550A,PSYC 550a,Proseminar in Human Behavior,"The nature of the human mind, social interactions, conflicts, cooperative behavior, mutual influence and effectiveness. Application of psychological principles to the dynamics of commercial entities. Open only to M.S., Applied Psychology students.",,,False,,4,,,,"{'restriction': ['Restriction:Registration open to the following major(s): Applied Psychology', 'Restriction:Registration open to the following class level(s): Master Student, Doctoral Student']}",,
PSYC-550B,PSYC,550B,PSYC 550b,Proseminar in Human Behavior,Application of psychological principles to the dynamics of commercial entities. Develop practical skills with a focus on professional development.,,,False,2.0-4.0 units,,PSYC 550A,,,"{'prereq': ['Prerequisite:PSYC 550A'], 'restriction': ['Restriction:Registration open to the following major(s): Applied Psychology', 'Restriction:Registration open to the following class level(s): Doctoral Student, Master Student']}",,
PSYC-552,PSYC,552,PSYC 552,Principles of Consumer Psychology,"Examination of the attitudes and decisions of consumers, and how to effectively reach consumers by using persuasion and proper positioning in the marketplace. Open only to M.S., Applied Psychology students.",,,False,,4,,,,"{'restriction': ['Restriction:Registration open to the following major(s): Applied Psychology', 'Restriction:Registration open to the following class level(s): Master Student']}",,
PSYC-555,PSYC,555,PSYC 555,Introduction to Functional Magnetic Resonance Imaging,The physical and physiological bases of MRI and fMRI. Design and analysis of fMRI experiments. Operation of a magnetic resonance imaging system.,,,False,,4,,,,{},,
PSYC-556,PSYC,556,PSYC 556,Psychology of Interactive Media,Examination of the diverse methods of communicating with a target audience with a special emphasis on the newest computer-based tools for providing information and influence.,,,False,,4,,,,"{'restriction': ['Restriction:Registration open to the following major(s): Applied Psychology', 'Restriction:Registration open to the following class level(s): Master Student']}",,
PSYC-565,PSYC,565,PSYC 565x,Organizational Psychology,"Examination of the psychological factors that impact employee motivation, job satisfaction, teamwork, leadership, and organizational development. Open only to Master of Applied Psychology students. Not available for major credit for GSBA majors",,,False,,4,,,,"{'restriction': ['Restriction:Registration open to the following major(s): Applied Psychology', 'Restriction:Registration open to the following class level(s): Master Student', 'Restriction:Registration open to the following school(s): Dana and David Dornsife College of Letters, Arts and Sciences']}",,
PSYC-566,PSYC,566,PSYC 566,The Psychology of Employee Selection and Assessment,"Develop an understanding of recruitment and selection practices, processes, and approaches into the strategic role that recruitment and selection plays in organizational success.",,,False,,4,PSYC 565,,,"{'prereq': ['Prerequisite:PSYC 565'], 'restriction': ['Restriction:Registration open to the following major(s): Applied Psychology', 'Restriction:Registration open to the following class level(s): Doctoral Student, Master Student']}",,
PSYC-571,PSYC,571,PSYC 571,Foundations of Statistical and Data Analytic Methods in Psychology,"Model comparison approach to analyzing experimental and non-experimental data; including moderated, mediated and nonlinear models as well as models with a categorical outcome.",,,False,,4,,,,{},,
PSYC-575,PSYC,575,PSYC 575L,Multilevel Modeling,"Topics in multilevel modeling including two- and three-level hierarchical linear models (HLM), random intercepts and slopes, longitudinal models and growth curve models, non-nested models as well as some recent development.",,,False,,4,,,,{},,
PSYC-576,PSYC,576,PSYC 576,Psycholinguistics,Theories of acquisition; sentence and discourse processing; language and thought.,,,False,,3,,,LING-576,"{'crosslist': ['Crosslist:This course is offered by theLINGdepartment but may qualify for major credit inPSYC. To register, enroll inLING 576.']}",,
PSYC-577,PSYC,577,PSYC 577,Analysis of Covariance Structures,"Multivariate analysis of non-experimental data, including structural equation modeling, path analysis, and confirmatory factor analysis. Computer applications using variety of optimization routines and purpose-written software.",,,False,,4,PSYC 503,,,{'prereq': ['Prerequisite:PSYC 503']},,
PSYC-578,PSYC,578,PSYC 578,Workshop in Quantitative Methods,"Practical, hands-on experience in the application of selected quantitative methods to empirical data. Includes training in the use of relevant computer software.",,,False,"4.0 units, max 8",,PSYC 501 and (PSYC 502 or PSYC 503),,,{'prereq': ['Prerequisite:PSYC 501and 1 from (PSYC 502orPSYC 503)']},,
PSYC-587,PSYC,587,PSYC 587,Practicum in Applied Behavior Analysis,"Provides supervised practical experience in implementing behavior analytic assessment and treatment services. Meets supervision requirements for the Board Certified Behavior Analyst exam. Students meet with course instructor to present and discuss cases for two hours per week every semester, including one summer session. Practicum hours in the field vary from 18-20 hours per week during the academic year to 30 hours per week during the summer.",,,False,"1.0-2.0 units, max 10",,,,,{},,
PSYC-590,PSYC,590,PSYC 590,Directed Research,Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.,,,False,1.0-12.0 units,,,,,{},,
PSYC-591,PSYC,591,PSYC 591,Applied Psychology Internship,"Internship in a non-university setting, such as business, governmental agency, or NGO. Graded CR/NC. Open only to M.S., Applied Psychology students.",,,False,"2.0-8.0 units, max 8",,,,,"{'restriction': ['Restriction:Registration open to the following major(s): Applied Psychology', 'Restriction:Registration open to the following class level(s): Master Student', 'Restriction:Registration open to the following school(s): Dana and David Dornsife College of Letters, Arts and Sciences']}",,
PSYC-593,PSYC,593,PSYC 593,Practicum in Teaching Psychology,"Techniques for working with undergraduates, lesson planning, leading discussions and lecturing, tools for development as a teaching professional. Open to first-semester Psychology TAs only. Graded CR/NC.",,,False,,2,,,,"{'restriction': ['Restriction:Registration open to the following major(s): Psychology', 'Restriction:Registration open to the following class level(s): Doctoral Student', 'Restriction:Registration open to the following school(s): Dana and David Dornsife College of Letters, Arts and Sciences']}",,
PSYC-594A,PSYC,594A,PSYC 594a,Master's Thesis,Credit on acceptance of Thesis. Graded CR/NC.,,,False,,2,,,,{},,
PSYC-594B,PSYC,594B,PSYC 594b,Master's Thesis,Credit on acceptance of Thesis. Graded CR/NC.,,,False,,2,PSYC 594A,,,{'prereq': ['Prerequisite:PSYC 594A']},,
PSYC-594Z,PSYC,594Z,PSYC 594z,Master's Thesis,Credit on acceptance of Thesis. Graded CR/NC.,,,False,,0,PSYC 594B,,,{'prereq': ['Prerequisite:PSYC 594B']},,
PSYC-595,PSYC,595,PSYC 595,Practicum in Clinical Psychology,"Supervised experience in interviewing skills and in assessment, including psychological test administration, and the preparation of reports. Graded CR/NC.",,,False,"1.0-4.0 units, max 12",,,,,{},,
PSYC-596,PSYC,596,PSYC 596,Advanced Behavioral Theory,"Examines advanced topics in behavioral theory and philosophy, including a comprehensive behavioral approach to language and cognition. Discusses the nature of productive relations between behavior analysis and other psychological theories.",,,False,,3,PSYC 530,,,{'prereq': ['Prerequisite:PSYC 530']},,
PSYC-597,PSYC,597,PSYC 597,Internship for Curricular Practical Training,"Part-time or full-time, practical work experience in the students field of study. The internship must be located at an off-campus facility. Students are individually supervised by faculty. May not be taken until the student has completed at least two semesters of enrollment in the graduate program.",,,False,"1.0-3.0 units, max 3",,,,,"{'restriction': ['Restriction:Registration open to the following major(s): Psychology', 'Restriction:Registration open to the following class level(s): Doctoral Student, Master Student', 'Restriction:Registration open to the following school(s): Dana and David Dornsife College of Letters, Arts and Sciences'], 'alert': ['Note:52745 for PhD Students Only']}",,
PSYC-597A,PSYC,597A,PSYC 597a,Capstone Project in Behavioral Analysis,"Supervision for completing independent project, consisting of practical treatment evaluation, program development, or literature review.",,,False,,2,,,,{},,
PSYC-599,PSYC,599,PSYC 599,Special Topics,Selected topics in the various specialty areas within psychology at the graduate level. Topic will vary from semester to semester.,,,False,"2.0-4.0 units, max 8",,,,,{},,
PSYC-612,PSYC,612,PSYC 612,Seminar in Advanced Social Psychology,"An intensive consideration of selected concepts, theories, and research problems in social psychology.",,,False,"4.0 units, max 16",,,,,{},,
PSYC-626,PSYC,626,PSYC 626,Text as Data,"Focuses on applications of natural language processing, guided by psychological theories, for identifying various social and cognitive properties evident in language.",,,False,,4,,,,{},,
PSYC-691A,PSYC,691A,PSYC 691a,Internship in Clinical Psychology,Supervised clinical work in an approved mental health setting. Graded CR/NC. Prerequisite: Good standing in clinical program and departmental approval.,,,False,,0,,,,{},,
PSYC-695,PSYC,695,PSYC 695,Advanced Practicum in Clinical Psychology,"Didactic practicum combining theory and research on psychological intervention with clinical practice in assessment and treatment, focused on particular client groups or disorders. Graded CR/NC.",,,False,"1.0-4.0 units, max 12",,,,,{},,
PSYC-696,PSYC,696,PSYC 696,Externship for Practical Training,Externship for Practical Training is for clinical-related training experience in the students fieldof study. Students are individually supervised at their site.,,,False,,0,,,,"{'restriction': ['Restriction:Registration open to the following major(s): Psychology', 'Restriction:Registration open to the following class level(s): Doctoral Student', 'Restriction:Registration open to the following school(s): Dana and David Dornsife College of Letters, Arts and Sciences']}",,
PSYC-790,PSYC,790,PSYC 790,Research,Research leading to the doctorate. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.,,,False,1.0-12.0 units,,,,,{},,
PSYC-794A,PSYC,794A,PSYC 794a,Doctoral Dissertation,Credit on acceptance of Dissertation. Graded IP/CR/NC.,,,False,,2,,,,{},,
PSYC-794B,PSYC,794B,PSYC 794b,Doctoral Dissertation,Credit on acceptance of Dissertation. Graded IP/CR/NC.,,,False,,2,PSYC 794A,,,{'prereq': ['Prerequisite:PSYC 794A']},,
PSYC-794C,PSYC,794C,PSYC 794c,Doctoral Dissertation,Credit on acceptance of Dissertation. Graded IP/CR/NC.,,,False,,2,PSYC 794B,,,{'prereq': ['Prerequisite:PSYC 794B']},,
PSYC-794D,PSYC,794D,PSYC 794d,Doctoral Dissertation,Credit on acceptance of Dissertation. Graded IP/CR/NC.,,,False,,2,PSYC 794C,,,{'prereq': ['Prerequisite:PSYC 794C']},,
PSYC-794Z,PSYC,794Z,PSYC 794z,Doctoral Dissertation,Credit on acceptance of Dissertation. Graded IP/CR/NC.,,,False,,0,PSYC 794D,,,{'prereq': ['Prerequisite:PSYC 794D']},,
QBIO-305,QBIO,305,QBIO 305g,Statistics for Biological Sciences,"Statistical methods in biological science and medicine, including populations and samples, random sampling, confidence intervals, paired samples and regression.",F,,True,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""]}",,
QBIO-401,QBIO,401,QBIO 401,Introduction to Computational Analysis of Biological Data,"A project-based course integrating biology, computer science, and statistics through the analysis of genomic datasets available publicly or collected and sequenced during the semester.",,,False,,4,,,,{},,
QBIO-430,QBIO,430,QBIO 430,Principles and Applications of Systems Biology,"Computational methods for simulation and analysis of metabolic networks, cellular signaling pathways, and gene regulatory networks. Biochemical kinetics, differential equations, stability analysis, sensitivity analysis.",,,False,,4,MATH 245 and (BME 210 or CHE 205),,BME-430,"{'prereq': ['Prerequisite:MATH 245and 1 from (BME 210orCHE 205)'], 'crosslist': ['Crosslist:This course is offered by theBMEdepartment but may qualify for major credit inQBIO. To register, enroll inBME 430.']}",,
QBIO-460,QBIO,460,QBIO 460,Introduction to Machine Learning in Biology,"Fundamentals of ML; regression analysis, classification methods, clustering techniques; dimensionality reduction methods, ensemble learning and deep learning technologies; applications in various biological contexts; project-based.",,,False,,4,,,,{},,
QBIO-475,QBIO,475,QBIO 475,Statistical and Evolutionary Genetics,"Introduction to the mathematical modeling and statistical analysis of genetic variation, including genetic drift, natural selection, mutation, migration, population structure, family studies and GWAS.",,,False,,4,(QBIO 310 or MATH 307 or MATH 407),,,{'prereq': ['Prerequisite:1 from (QBIO 310orMATH 307orMATH 407)']},,
QBIO-481,QBIO,481,QBIO 481,Structural Bioinformatics,"Introduction to physical and statistical methods, molecular simulations, machine learning and AI for structural bioinformatics studies of proteins, nucleic acids, molecular complexes and whole cells.",,,False,,4,MATH 125,,,{'prereq': ['Prerequisite:MATH 125']},,
QBIO-490,QBIO,490,QBIO 490x,Directed Research,Individual research and readings. Project approval by faculty adviser and QCB department required.,,,False,"1.0-8.0 units, max 12",,,,,{},,
QBIO-493,QBIO,493,QBIO 493,Quantitative Biology Honors Seminar,Student-led discussions of recent research in quantitative biology and presentation of their own research.,,,False,,2,QBIO 105,,,"{'prereq': ['Prerequisite:QBIO 105'], 'restriction': ['Restriction:Registration open to the following major(s): Quantitative Biology']}",,
QBIO-542,QBIO,542,QBIO 542,Seminar in Computational Biology,Experience and training in giving science research presentations. Students will discuss recent research in computational biology and bioinformatics.,,,False,"1.0 units, max 6",,,,,{},,
QBIO-547,QBIO,547,QBIO 547,Ethics and Professional Conduct in Computational Biology,"Discussion-based ethics course for graduate students, with topics including authorship, peer review, publication, research misconduct, discrimination in science, data privacy and algorithmic bias.",,,False,,1,,,,{},,
QBIO-570,QBIO,570,QBIO 570,Introduction to Data Structures and Algorithms for Science,An introduction to scientific data analysis; fundamentals of data structures and algorithms; specialized algorithms used in the sciences; challenges posed by large scientific data sets.,,,False,,4,,,,{},,
QBIO-577,QBIO,577,QBIO 577,Computational Molecular Biology Laboratory,Practical experience in computational molecular biology applications. Mathematical and statistical software packages relevant to genomic analysis. Retrieval and analysis of genomic data from databases.,,,False,,2,,,,{},,
QBIO-578B,QBIO,578B,QBIO 578b,Computational Molecular Biology,"Applications of the mathematical, statistical and computational sciences to data from molecular biology. Statistics for genomic sequence data: DNA sequence assembly, significance of alignment scores, hidden Markov models, genetic mapping, models of sequence evolution and microarray analysis.",,,False,,3,MATH 505A and MATH 541A and (QBIO 578A or MATH 578A),,,{'prereq': ['Prerequisite:MATH 505AandMATH 541Aand 1 from (QBIO 578AorMATH 578A)']},,
QBIO-590,QBIO,590,QBIO 590,Directed Research,Research leading to a graduate degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.,,,False,1.0-12.0 units,,,,,{},,
QBIO-593,QBIO,593,QBIO 593,Practicum in Teaching Quantitative and Computational Biology,Practical principles for the long-term development of effective teaching within science and engineering disciplines. Intended for teaching assistant training as required by the university.,,,False,,2,,,,{},,
QBIO-596,QBIO,596,QBIO 596,Internship for Curricular Practical Training,"Part-time or full-time, practical work experience in the student's field of study. The internship must be located at an off-campus facility. Students are supervised by faculty. May not be taken until the student has completed one semester of enrollment in a graduate program with a cumulative 3.0 GPA. The course is graded CR/NC.",,,False,"1.0-3.0 units, max 3",,,,,{},,
QBIO-790,QBIO,790,QBIO 790,Research,Research leading to the doctorate. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.,,,False,1.0-12.0 units,,,,,{},,
QBIO-794A,QBIO,794A,QBIO 794a,Doctoral Dissertation,For doctoral students who have passed the qualifying exam. Credit on acceptance of dissertation.,,,False,,2,,,,{},,
QBIO-794B,QBIO,794B,QBIO 794b,Doctoral Dissertation,For doctoral students who have passed the qualifying exam. Credit on acceptance of dissertation.,,,False,,2,QBIO 794A,,,{'prereq': ['Prerequisite:QBIO 794A']},,
QBIO-794C,QBIO,794C,QBIO 794c,Doctoral Dissertation,For doctoral students who have passed the qualifying exam. Credit on acceptance of dissertation.,,,False,,2,QBIO 794B,,,{'prereq': ['Prerequisite:QBIO 794B']},,
QBIO-794D,QBIO,794D,QBIO 794d,Doctoral Dissertation,For doctoral students who have passed the qualifying exam. Credit on acceptance of dissertation.,,,False,,2,QBIO 794C,,,{'prereq': ['Prerequisite:QBIO 794C']},,
QBIO-794Z,QBIO,794Z,QBIO 794z,Doctoral Dissertation,For doctoral students who have passed the qualifying exam. Credit on acceptance of dissertation.,,,False,,0,QBIO 794D,,,{'prereq': ['Prerequisite:QBIO 794D']},,
REL-125,REL,125,REL 125gp,Introduction to Christianity,"Survey of the changing beliefs and practices of the Christian religion from its origins through early modernity (100 CE - 1500 CE), with special attention to different varieties of Christian literature.",B,H,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""]}",,
REL-130,REL,130,REL 130g,Indian Traditions of Mind and Body,"Explores a variety of sophisticated theories and practices from India relating to the mind, body, medicine and religion.",B,,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""]}",,
REL-135,REL,135,REL 135g,Chinese Religions and Culture,Historical and thematic survey of Chinese religious history from earliest times to the present.,B,,True,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""]}",,
REL-146,REL,146,REL 146gp,Spirituality in America,"Examination of the historical continuities and disjunctions between ""spiritual but not religious"" Americans; the relationship between spirituality, politics and social change, and the role of media.",,H,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""]}",,
REL-301,REL,301,REL 301,Introduction to the Study of Religion,Survey of academic approaches to the study of religion. When possible this course will be taken during the first year of the major or minor.,,,False,,4,,,,{},,
REL-340,REL,340,REL 340,Introduction to Indian Philosophy,"An introduction to Indian philosophy, including major schools of thought in Hindu, Buddhist, and Jain philosophies. No previous knowledge of Indian religions or philosophy required.",,,False,,4,,,,{},,
REL-341,REL,341,REL 341,"Technology, Culture, and Ethics","Examination of value questions arising from the impact of technology on individuals, social institutions, and culture.",,,False,,4,,,,{},,
REL-345,REL,345,REL 345p,Islamic Spirituality,"Examination of the origins, development, and basic concepts and practices of Sufism, as well as its relationship to other areas of Islamic life.",,H,False,,4,,,,{},,
REL-361,REL,361,REL 361,Law and Religion,"Explores the intersection between law and religion including ways in which religious traditions conceive of, create, order, and contest law.",,,False,,4,,,,{},,
REL-415,REL,415,REL 415,Seminar in Buddhism,Seminar on selected aspects of the Buddhist tradition.,,,False,,4,,,,{},,
REL-448,REL,448,REL 448m,France and Islam,"Historical and theoretical analyses of the complex history of Western perceptions of Islam, focusing on France.Taught in French. Prerequisites: FREN 330. Recommended preparation: REL 137g for Religion majors and minors.",,,False,,4,FREN 330,,FREN-448,"{'prereq': ['Prerequisite:FREN 330'], 'multicultural': [""Diversity:This course satisfies the university's diversity requirement.""], 'crosslist': ['Crosslist:This course is offered by theFRENdepartment but may qualify for major credit inREL. To register, enroll inFREN 448.']}",,
REL-490,REL,490,REL 490x,Directed Research,Individual research and readings. Not available for graduate credit.,,,False,"1.0-8.0 units, max 12",,,,,"{'restriction': ['Restriction:Registration open to the following class level(s): Junior, Senior']}",,
REL-491,REL,491,REL 491x,Undergraduate Honors Research,Individual research for honors in the major leading to a substantial project.,,,False,,4,,,,"{'restriction': ['Restriction:Registration open to the following major(s): Religious Studies', 'Restriction:Registration open to the following class level(s): Junior, Senior']}",,
REL-590,REL,590,REL 590,Directed Research,Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.,,,False,1.0-12.0 units,,,,,{},,
REL-592,REL,592,REL 592,Professionalization Proseminar in Religious Studies,Offers students a structured environment in which to consider issues in professional development and to discuss their dissertation proposals. Graded CR/NC.,,,False,,2,,,,{},,
REL-652,REL,652,REL 652,Readings in Buddhist Texts,Study of varied Asian Buddhist texts in translation and in original languages. Exploration of the major secondary literature on Buddhist texts.,,,False,"4.0 units, max 12",,,,,{},,
REL-701,REL,701,REL 701,Research Seminar in Religious Studies,"Skills for academic professionalization, presentation of research in progress and formal responses to academic writing.",,,False,"2.0 units, max 8",,,,,"{'restriction': ['Restriction:Registration open to the following class level(s): Doctoral Student, Master Student']}",,
REL-794A,REL,794A,REL 794a,Doctoral Dissertation,Credit on acceptance of dissertation. Graded CR/NC.,,,False,,2,,,,{'restriction': ['Restriction:Registration open to the following class level(s): Doctoral Student']},,
REL-794B,REL,794B,REL 794b,Doctoral Dissertation,Credit on acceptance of dissertation. Graded CR/NC.,,,False,,2,REL 794A,,,{'prereq': ['Prerequisite:REL 794A']},,
REL-794C,REL,794C,REL 794c,Doctoral Dissertation,Credit on acceptance of dissertation. Graded CR/NC.,,,False,,2,REL 794B,,,{'prereq': ['Prerequisite:REL 794B']},,
REL-794D,REL,794D,REL 794d,Doctoral Dissertation,Credit on acceptance of dissertation. Graded CR/NC.,,,False,,2,REL 794C,,,{'prereq': ['Prerequisite:REL 794C']},,
REL-794Z,REL,794Z,REL 794z,Doctoral Dissertation,Credit on acceptance of dissertation. Graded CR/NC.,,,False,,0,REL 794D,,,"{'prereq': ['Prerequisite:REL 794D'], 'restriction': ['Restriction:Registration open to the following class level(s): Doctoral Student']}",,
RNR-050,RNR,050,RNR 050,International Academy Holding Course,"Course created per request from the International Academy to create a zero unit, zero charge course for the purpose of enabling services for the student population. Tuition is paid directly to the Academy.",,,False,,0,,,,{},,
